Date,Trx Count
5/15/2022,61010
5/16/2022,61384
5/17/2022,61717
5/18/2022,68321
5/19/2022,64641
5/20/2022,53970
5/21/2022,51843
5/22/2022,58534
5/23/2022,59501
5/24/2022,62874
5/25/2022,72693
5/26/2022,93092
5/27/2022,74541
5/28/2022,72732
5/29/2022,75665
5/30/2022,73548
5/31/2022,81182
6/1/2022,80387
6/2/2022,80595
6/3/2022,70583
6/4/2022,69727
6/5/2022,72827
6/6/2022,76457
6/7/2022,74365
6/8/2022,79661
6/9/2022,90832
6/10/2022,86722
6/11/2022,77524
6/12/2022,77358
6/13/2022,76247
6/14/2022,79996
6/15/2022,89012
6/16/2022,93110
6/17/2022,86480
6/18/2022,81161
6/19/2022,92688
6/20/2022,93155
6/21/2022,84295
6/22/2022,81455
6/23/2022,86278
6/24/2022,78292
6/25/2022,72476
6/26/2022,91392
6/27/2022,116897
6/28/2022,106645
6/29/2022,109058
6/30/2022,118722
7/1/2022,109781
7/2/2022,97677
7/3/2022,101228
7/4/2022,103287
7/5/2022,105886
7/6/2022,115238
7/7/2022,110023
7/8/2022,184008
7/9/2022,64759
7/10/2022,67294
7/11/2022,70246
7/12/2022,75243
7/13/2022,78637
7/14/2022,80213
7/15/2022,75638
7/16/2022,74514
7/17/2022,78018
7/18/2022,79236
7/19/2022,78576
7/20/2022,87958
7/21/2022,82913
7/22/2022,77129
7/23/2022,73071
7/24/2022,79215
7/25/2022,87384
7/26/2022,89644
7/27/2022,112020
7/28/2022,107153
7/29/2022,93784
7/30/2022,89927
7/31/2022,98765
8/1/2022,106258
8/2/2022,99706
8/3/2022,96283
8/4/2022,97374
8/5/2022,88364
8/6/2022,81490
8/7/2022,87816
8/8/2022,94798
8/9/2022,95324
8/10/2022,104588
8/11/2022,103935
8/12/2022,96778
8/13/2022,89928
8/14/2022,91148
8/15/2022,86582
8/16/2022,91020
8/17/2022,93187
8/18/2022,93586
8/19/2022,103268
8/20/2022,88635
8/21/2022,89334
8/22/2022,91032
8/23/2022,91108
8/24/2022,96772
8/25/2022,114890
8/26/2022,105146
8/27/2022,100565
8/28/2022,135969
8/29/2022,124686
8/30/2022,115264
8/31/2022,122147
9/1/2022,138174
9/2/2022,117139
9/3/2022,109076
9/4/2022,105278
9/5/2022,107287
9/6/2022,110644
9/7/2022,102148
9/8/2022,113349
9/9/2022,101753
9/10/2022,97550
9/11/2022,116726
9/12/2022,105839
9/13/2022,101048
9/14/2022,94102
9/15/2022,103611
9/16/2022,92957
9/17/2022,87202
9/18/2022,93345
9/19/2022,107111
9/20/2022,106672
9/21/2022,105327
9/22/2022,103522
9/23/2022,98037
9/24/2022,90614
9/25/2022,100195
9/26/2022,105608
9/27/2022,146521
9/28/2022,140448
9/29/2022,140879
